Name ;Comment URL;content;Date;"emocion";content_global;tokens;lemas;content_clasico;content_transformers
Angie Durand Flores;https://www.tiktok.com/@angiedurandflores5/video/7354011532155489541?comment_id=7354026137057985285;la depresión es una enfermedad que no se va, siempre está ahí, como una sombra, solo de aprende a vivir con eso 🥺;2024-04-04 14:57:30;"Tristeza";la depresión es una enfermedad que no se va, siempre está ahí, como una sombra, solo de aprende a vivir con eso emoji_cara_suplicante;['la', 'depresión', 'es', 'una', 'enfermedad', 'que', 'no', 'se', 'va', 'siempre', 'está', 'ahí', 'como', 'una', 'sombra', 'solo', 'de', 'aprende', 'a', 'vivir', 'con', 'eso', 'emoji_cara_suplicante'];['depresión', 'enfermedad', 'no', 'siempre', 'sombra', 'aprender', 'vivir', 'emoji_cara_suplicante'];depresión enfermedad no siempre sombra aprender vivir emoji_cara_suplicante;la depresión es una enfermedad que no se va, siempre está ahí, como una sombra, solo de aprende a vivir con eso emoji_cara_suplicante
Isaac Yluquiz Contre;https://www.tiktok.com/@pedrito598/video/7354011532155489541?comment_id=7354032082915689222;estoy dejando mi vida en la ruina no tengo necesidad de querer hacer nada estoy dejando de lado mis sueños y sinceramente es como si ya no quisera;2024-04-04 15:20:32;"Tristeza";estoy dejando mi vida en la ruina no tengo necesidad de querer hacer nada estoy dejando de lado mis sueños y sinceramente es como si ya no quisera;['estoy', 'dejando', 'mi', 'vida', 'en', 'la', 'ruina', 'no', 'tengo', 'necesidad', 'de', 'querer', 'hacer', 'nada', 'estoy', 'dejando', 'de', 'lado', 'mis', 'sueños', 'y', 'sinceramente', 'es', 'como', 'si', 'ya', 'no', 'quisera'];['dejar', 'vida', 'ruina', 'no', 'necesidad', 'querer', 'nada', 'dejar', 'sueño', 'sinceramente', 'si', 'no', 'quiserar'];dejar vida ruina no necesidad querer nada dejar sueño sinceramente si no quiserar;estoy dejando mi vida en la ruina no tengo necesidad de querer hacer nada estoy dejando de lado mis sueños y sinceramente es como si ya no quisera
skudexa;https://www.tiktok.com/@skudexa0/video/7354011532155489541?comment_id=7354036545680245509;🥺🥺🥺;2024-04-04 15:37:51;"Tristeza";emoji_cara_suplicante emoji_cara_suplicante emoji_cara_suplicante;['emoji_cara_suplicante', 'emoji_cara_suplicante', 'emoji_cara_suplicante'];['emoji_cara_suplicante', 'emoji_cara_suplicante', 'emoji_cara_suplicante'];emoji_cara_suplicante emoji_cara_suplicante emoji_cara_suplicante;emoji_cara_suplicante emoji_cara_suplicante emoji_cara_suplicante
Ándre;https://www.tiktok.com/@andre_notfound/video/7354011532155489541?comment_id=7354047360798294790;Cuando no se siente nada?;2024-04-04 16:19:49;"Sorpresa";Cuando no se siente nada?;['cuando', 'no', 'se', 'siente', 'nada', 'interrogacion'];['no', 'sentir', 'nada', 'interrogacion'];no sentir nada interrogacion;Cuando no se siente nada?
𝓘𝓶𝓮𝓵𝓲𝓼𝓼𝓪 🌙;https://www.tiktok.com/@imelissabel/video/7354011532155489541?comment_id=7360761971844809478;Dime si está bien solo querer dormir 🛌 y llorar no tengo interés en nada ando apagada;2024-04-22 18:35:59;"Tristeza";Dime si está bien solo querer dormir emoji_persona_en_la_cama y llorar no tengo interés en nada ando apagada;['dime', 'si', 'está', 'bien', 'solo', 'querer', 'dormir', 'emoji_persona_en_la_cama', 'y', 'llorar', 'no', 'tengo', 'interés', 'en', 'nada', 'ando', 'apagada'];['dime', 'si', 'bien', 'querer', 'dormir', 'emoji_persona_en_la_cama', 'llorar', 'no', 'interés', 'nada', 'ar', 'apagado'];dime si bien querer dormir emoji_persona_en_la_cama llorar no interés nada ar apagado;Dime si está bien solo querer dormir emoji_persona_en_la_cama y llorar no tengo interés en nada ando apagada
Alessandra Aquije;https://www.tiktok.com/@aleaquije/video/7354011532155489541?comment_id=7361647064088298245;@@pablocesarfloresr pero ya estoy saliendo adelante 🥺;2024-04-25 03:50:41;"Alegría";@ pero ya estoy saliendo adelante emoji_cara_suplicante;['pero', 'ya', 'estoy', 'saliendo', 'adelante', 'emoji_cara_suplicante'];['salir', 'emoji_cara_suplicante'];salir emoji_cara_suplicante;@ pero ya estoy saliendo adelante emoji_cara_suplicante
Claudio Torres Chereque;https://www.tiktok.com/@claudiovtorresche/video/7354011532155489541?comment_id=7362737478480184070;y si esas dos situaciones las siento por años? 🥺;2024-04-28 02:21:59;"Tristeza";y si esas dos situaciones las siento por años? emoji_cara_suplicante;['y', 'si', 'esas', 'dos', 'situaciones', 'las', 'siento', 'por', 'años', 'interrogacion', 'emoji_cara_suplicante'];['si', 'situación', 'sentir', 'año', 'interrogacion', 'emoji_cara_suplicante'];si situación sentir año interrogacion emoji_cara_suplicante;y si esas dos situaciones las siento por años? emoji_cara_suplicante
Nurmustafa22;https://www.tiktok.com/@nurmustafa22/video/7354011532155489541?comment_id=7363833489382277893;😳😳😳;2024-05-01 01:15:02;"Sorpresa";emoji_cara_sonrojada emoji_cara_sonrojada emoji_cara_sonrojada;['emoji_cara_sonrojada', 'emoji_cara_sonrojada', 'emoji_cara_sonrojada'];['emoji_cara_sonrojado', 'emoji_cara_sonrojado', 'emoji_cara_sonrojadar'];emoji_cara_sonrojado emoji_cara_sonrojado emoji_cara_sonrojadar;emoji_cara_sonrojada emoji_cara_sonrojada emoji_cara_sonrojada
NicolasCece;https://www.tiktok.com/@nicolascespedes.c/video/7354011532155489541?comment_id=7363888881789436678;Hace 2 años tengo depresión entonces 💀;2024-05-01 04:50:01;"Tristeza";Hace 2 años tengo depresión entonces emoji_calavera;['hace', '2', 'años', 'tengo', 'depresión', 'entonces', 'emoji_calavera'];['2', 'año', 'depresión', 'emoji_calavero'];2 año depresión emoji_calavero;Hace 2 años tengo depresión entonces emoji_calavera
Alejandro Inocente;https://www.tiktok.com/@alejandro10995/video/7354011532155489541?comment_id=7363897093410800390;hace años fui diagnósticado con ansiedad y transtorno depresivo 😞pero mi alrededor cree que es solo una etapa y noc que más hacer lucho solo contra esto;2024-05-01 05:21:54;"Tristeza";hace años fui diagnósticado con ansiedad y transtorno depresivo emoji_cara_decepcionada pero mi alrededor cree que es solo una etapa y noc que más hacer lucho solo contra esto;['hace', 'años', 'fui', 'diagnósticado', 'con', 'ansiedad', 'y', 'transtorno', 'depresivo', 'emoji_cara_decepcionada', 'pero', 'mi', 'alrededor', 'cree', 'que', 'es', 'solo', 'una', 'etapa', 'y', 'noc', 'que', 'más', 'hacer', 'lucho', 'solo', 'contra', 'esto'];['año', 'diagnósticar', 'ansiedad', 'transtorno', 'depresivo', 'emoji_cara_decepcionado', 'creer', 'etapa', 'noc', 'más', 'lucho'];año diagnósticar ansiedad transtorno depresivo emoji_cara_decepcionado creer etapa noc más lucho;hace años fui diagnósticado con ansiedad y transtorno depresivo emoji_cara_decepcionada pero mi alrededor cree que es solo una etapa y noc que más hacer lucho solo contra esto
Ne;https://www.tiktok.com/@netamarindo/video/7354011532155489541?comment_id=7364887478002762502;hay muchas personas con depresión que podemos estar tristes, pero no expresamos nada, no buscamos preocupar a nadie, vivimos esto solos, nos aislamos;2024-05-03 21:25:13;"Tristeza";hay muchas personas con depresión que podemos estar tristes, pero no expresamos nada, no buscamos preocupar a nadie, vivimos esto solos, nos aislamos;['hay', 'muchas', 'personas', 'con', 'depresión', 'que', 'podemos', 'estar', 'tristes', 'pero', 'no', 'expresamos', 'nada', 'no', 'buscamos', 'preocupar', 'a', 'nadie', 'vivimos', 'esto', 'solos', 'nos', 'aislamos'];['persona', 'depresión', 'triste', 'no', 'expresamos', 'nada', 'no', 'buscar', 'preocupar', 'nadie', 'vivir', 'aislar'];persona depresión triste no expresamos nada no buscar preocupar nadie vivir aislar;hay muchas personas con depresión que podemos estar tristes, pero no expresamos nada, no buscamos preocupar a nadie, vivimos esto solos, nos aislamos
Mei 🧸🎀;https://www.tiktok.com/@mei_sk/video/7354011532155489541?comment_id=7364995987340034821;@° 𝑨𝑖 aiudaaaaaa;2024-05-04 04:26:15;"Miedo";@° 𝑨𝑖 aiudaaaaaa;['aiudaaaaaa'];['aiudaaaaaa'];aiudaaaaaa;@° 𝑨𝑖 aiudaaaaaa
memo;https://www.tiktok.com/@memovillanuevaitz/video/7354011532155489541?comment_id=7365299620547166981;mentira claro q no;2024-05-05 00:04:29;"Ira";mentira claro q no;['mentira', 'claro', 'q', 'no'];['mentira', 'q', 'no'];mentira q no;mentira claro q no
Alejandra Calderon;https://www.tiktok.com/@alejandracaldero60/video/7354011532155489541?comment_id=7365321246962139909;tengo 28 y llevo 28 años de mi vida así. recuerdo cosas muy turbias desde mis 2 años y aún vivo con todos esos recuerdos día a día, hora tras hora, es agotador.;2024-05-05 01:28:27;"Tristeza";tengo 28 y llevo 28 años de mi vida así. recuerdo cosas muy turbias desde mis 2 años y aún vivo con todos esos recuerdos día a día, hora tras hora, es agotador.;['tengo', '28', 'y', 'llevo', '28', 'años', 'de', 'mi', 'vida', 'así', 'recuerdo', 'cosas', 'muy', 'turbias', 'desde', 'mis', '2', 'años', 'y', 'aún', 'vivo', 'con', 'todos', 'esos', 'recuerdos', 'día', 'a', 'día', 'hora', 'tras', 'hora', 'es', 'agotador'];['28', 'llevar', '28', 'año', 'vida', 'recordar', 'cosa', 'mucho', 'turbio', '2', 'año', 'vivo', 'recuerdo', 'hora', 'hora', 'agotador'];28 llevar 28 año vida recordar cosa mucho turbio 2 año vivo recuerdo hora hora agotador;tengo 28 y llevo 28 años de mi vida así. recuerdo cosas muy turbias desde mis 2 años y aún vivo con todos esos recuerdos día a día, hora tras hora, es agotador.
snnopy_01;https://www.tiktok.com/@snnopy_01/video/7354011532155489541?comment_id=7365333186329740038;Tipo nose, yo demuestro estar bien, pero cuando estoy sola....;2024-05-05 02:14:48;"Tristeza";Tipo nose, yo demuestro estar bien, pero cuando estoy sola....;['tipo', 'nose', 'yo', 'demuestro', 'estar', 'bien', 'pero', 'cuando', 'estoy', 'sola'];['tipo', 'no él', 'demostrar', 'bien'];tipo no él demostrar bien;Tipo nose, yo demuestro estar bien, pero cuando estoy sola....
❤️‍🔥💯🙊;https://www.tiktok.com/@angieariza17/video/7354011532155489541?comment_id=7365366029591298821;Van 4055 días. + querer olvidar, dormir y la sosobra la desesperanza...;2024-05-05 05:05:46;"Tristeza";Van 4055 días. + querer olvidar, dormir y la sosobra la desesperanza...;['van', '4055', 'días', 'querer', 'olvidar', 'dormir', 'y', 'la', 'sosobra', 'la', 'desesperanza'];['4055', 'querer', 'olvidar', 'dormir', 'sosobra', 'desesperanza'];4055 querer olvidar dormir sosobra desesperanza;Van 4055 días. + querer olvidar, dormir y la sosobra la desesperanza...
YESS MARTÍNEZ🐸;https://www.tiktok.com/@yess_080/video/7354011532155489541?comment_id=7365411631503901445;🥺🥺🥺;2024-05-05 07:19:11;"Tristeza";emoji_cara_suplicante emoji_cara_suplicante emoji_cara_suplicante;['emoji_cara_suplicante', 'emoji_cara_suplicante', 'emoji_cara_suplicante'];['emoji_cara_suplicante', 'emoji_cara_suplicante', 'emoji_cara_suplicante'];emoji_cara_suplicante emoji_cara_suplicante emoji_cara_suplicante;emoji_cara_suplicante emoji_cara_suplicante emoji_cara_suplicante
Lalitoon;https://www.tiktok.com/@lalitoon_/video/7354011532155489541?comment_id=7365528498154324741;añosssss en tristeza total 🥺;2024-05-05 14:52:31;"Tristeza";añosssss en tristeza total emoji_cara_suplicante;['añosssss', 'en', 'tristeza', 'total', 'emoji_cara_suplicante'];['añosssss', 'tristeza', 'emoji_cara_suplicante'];añosssss tristeza emoji_cara_suplicante;añosssss en tristeza total emoji_cara_suplicante
AnimeStorck;https://www.tiktok.com/@animestorck6/video/7354011532155489541?comment_id=7365644898933195526;2 semanas entonces no,lo mio lleva como 15 años,que alivio ☺️;2024-05-05 23:21:08;"Alegría";2 semanas entonces no,lo mio lleva como 15 años,que alivio emoji_cara_sonriente;['2', 'semanas', 'entonces', 'no', 'lo', 'mio', 'lleva', 'como', '15', 'años', 'que', 'alivio', 'emoji_cara_sonriente'];['2', 'semana', 'no', '15', 'año', 'aliver', 'emoji_cara_sonriente'];2 semana no 15 año aliver emoji_cara_sonriente;2 semanas entonces no,lo mio lleva como 15 años,que alivio emoji_cara_sonriente
KARABAZ;https://www.tiktok.com/@belzegor93/video/7354011532155489541?comment_id=7365742599061947142;si no es dsm no es;2024-05-06 04:43:29;"Ira";si no es dsm no es;['si', 'no', 'es', 'dsm', 'no', 'es'];['si', 'no', 'dsm', 'no'];si no dsm no;si no es dsm no es
Anita;https://www.tiktok.com/@anitrax18/video/7354011532155489541?comment_id=7365756541351330566;distimia, insomnio y relación tóxica con la comida que es lo único que me hace sentir algo diferente;2024-05-06 05:37:28;"Tristeza";distimia, insomnio y relación tóxica con la comida que es lo único que me hace sentir algo diferente;['distimia', 'insomnio', 'y', 'relación', 'tóxica', 'con', 'la', 'comida', 'que', 'es', 'lo', 'único', 'que', 'me', 'hace', 'sentir', 'algo', 'diferente'];['distimia', 'insomnio', 'relación', 'tóxico', 'comida', 'único', 'sentir'];distimia insomnio relación tóxico comida único sentir;distimia, insomnio y relación tóxica con la comida que es lo único que me hace sentir algo diferente
Mafalda;https://www.tiktok.com/@mariana8972535/video/7354011532155489541?comment_id=7365870974896734982;Yo lloro pero solo cuando llego a mi casa y me encuentro sola. Me mudé hace 3 meses y extraño a mi hijo 😭;2024-05-06 13:01:40;"Tristeza";Yo lloro pero solo cuando llego a mi casa y me encuentro sola. Me mudé hace 3 meses y extraño a mi hijo emoji_cara_llorando_fuerte;['yo', 'lloro', 'pero', 'solo', 'cuando', 'llego', 'a', 'mi', 'casa', 'y', 'me', 'encuentro', 'sola', 'me', 'mudé', 'hace', '3', 'meses', 'y', 'extraño', 'a', 'mi', 'hijo', 'emoji_cara_llorando_fuerte'];['lloro', 'llegar', 'casa', 'encontrar', 'mudar', '3', 'mes', 'extraño', 'hijo', 'emoji_cara_llorando_fuerte'];lloro llegar casa encontrar mudar 3 mes extraño hijo emoji_cara_llorando_fuerte;Yo lloro pero solo cuando llego a mi casa y me encuentro sola. Me mudé hace 3 meses y extraño a mi hijo emoji_cara_llorando_fuerte
solo juan;https://www.tiktok.com/@buatistaalvarez0/video/7354011532155489541?comment_id=7365961247676547845;llevo 3 años tristes.. ya en mi vida es normal;2024-05-06 18:51:56;"Tristeza";llevo 3 años tristes.. ya en mi vida es normal;['llevo', '3', 'años', 'tristes', 'ya', 'en', 'mi', 'vida', 'es', 'normal'];['llevar', '3', 'año', 'triste', 'vida', 'normal'];llevar 3 año triste vida normal;llevo 3 años tristes.. ya en mi vida es normal
César;https://www.tiktok.com/@cesrodri05/video/7354011532155489541?comment_id=7366151599305507589;pues ah mi me pasa que estoy en el trabajo y de pronto me pierdo en mis pensamientos y se me baja los ánimos recordando y haciendo escenarios en mi cabeza:(;2024-05-07 07:10:36;"Tristeza";pues ah mi me pasa que estoy en el trabajo y de pronto me pierdo en mis pensamientos y se me baja los ánimos recordando y haciendo escenarios en mi cabeza:(;['pues', 'ah', 'mi', 'me', 'pasa', 'que', 'estoy', 'en', 'el', 'trabajo', 'y', 'de', 'pronto', 'me', 'pierdo', 'en', 'mis', 'pensamientos', 'y', 'se', 'me', 'baja', 'los', 'ánimos', 'recordando', 'y', 'haciendo', 'escenarios', 'en', 'mi', 'cabeza'];['ah', 'pasar', 'trabajo', 'perder', 'pensamiento', 'bajar', 'ánimo', 'recordar', 'escenario', 'cabeza'];ah pasar trabajo perder pensamiento bajar ánimo recordar escenario cabeza;pues ah mi me pasa que estoy en el trabajo y de pronto me pierdo en mis pensamientos y se me baja los ánimos recordando y haciendo escenarios en mi cabeza:(
Lore buenrostro;https://www.tiktok.com/@loreli.buenrostro/video/7354011532155489541?comment_id=7366240417249379077;lo peor que puede pasar casi 5 meses con ella y apenas creo que estoy saliendo de ello;2024-05-07 12:55:10;"Tristeza";lo peor que puede pasar casi 5 meses con ella y apenas creo que estoy saliendo de ello;['lo', 'peor', 'que', 'puede', 'pasar', 'casi', '5', 'meses', 'con', 'ella', 'y', 'apenas', 'creo', 'que', 'estoy', 'saliendo', 'de', 'ello'];['peor', 'pasar', '5', 'mes', 'salir'];peor pasar 5 mes salir;lo peor que puede pasar casi 5 meses con ella y apenas creo que estoy saliendo de ello
Alex.;https://www.tiktok.com/@chancesalecx/video/7354011532155489541?comment_id=7366917560682070789;esa sensación la siento desde que mi perrita dejo este mundo, las cosas no han sido igual desde que ya no está ella;2024-05-09 08:42:54;"Tristeza";esa sensación la siento desde que mi perrita dejo este mundo, las cosas no han sido igual desde que ya no está ella;['esa', 'sensación', 'la', 'siento', 'desde', 'que', 'mi', 'perrita', 'dejo', 'este', 'mundo', 'las', 'cosas', 'no', 'han', 'sido', 'igual', 'desde', 'que', 'ya', 'no', 'está', 'ella'];['sensación', 'siento', 'perritar', 'dejar', 'mundo', 'cosa', 'no', 'no'];sensación siento perritar dejar mundo cosa no no;esa sensación la siento desde que mi perrita dejo este mundo, las cosas no han sido igual desde que ya no está ella
MJCR;https://www.tiktok.com/@maykolchavez18/video/7354011532155489541?comment_id=7367615122523702022;😔;2024-05-11 05:49:53;"Tristeza";emoji_cara_desanimada;['emoji_cara_desanimada'];['emoji_cara_desanimar'];emoji_cara_desanimar;emoji_cara_desanimada
Benja..;https://www.tiktok.com/@benjaminemmerson/video/7354011532155489541?comment_id=7367807523023946502;ahhh ya van 4 años;2024-05-11 18:16:21;"Tristeza";ahhh ya van 4 años;['ahhh', 'ya', 'van', '4', 'años'];['ahhh', '4', 'año'];ahhh 4 año;ahhh ya van 4 años
yani👻🔦;https://www.tiktok.com/@yanethyanipalomin/video/7354011532155489541?comment_id=7367815932007891717;🥺y que pasa cuando eres feliz con todos y en la noche lloras;2024-05-11 18:49:00;"Tristeza";emoji_cara_suplicante y que pasa cuando eres feliz con todos y en la noche lloras;['emoji_cara_suplicante', 'y', 'que', 'pasa', 'cuando', 'eres', 'feliz', 'con', 'todos', 'y', 'en', 'la', 'noche', 'lloras'];['emoji_cara_suplicante', 'pasar', 'feliz', 'noche', 'lloras'];emoji_cara_suplicante pasar feliz noche lloras;emoji_cara_suplicante y que pasa cuando eres feliz con todos y en la noche lloras
Jean Amilcar!;https://www.tiktok.com/@amilcar6324/video/7354011532155489541?comment_id=7367891956280541958;y si la tristeza ha durado 4 años?;2024-05-11 23:44:10;"Tristeza";y si la tristeza ha durado 4 años?;['y', 'si', 'la', 'tristeza', 'ha', 'durado', '4', 'años', 'interrogacion'];['si', 'tristeza', 'durar', '4', 'año', 'interrogacion'];si tristeza durar 4 año interrogacion;y si la tristeza ha durado 4 años?
azalea;https://www.tiktok.com/@azaleamuunfer/video/7354011532155489541?comment_id=7368167264615400197;desde que tengo memoria siempre me he sentido triste;2024-05-12 17:32:22;"Tristeza";desde que tengo memoria siempre me he sentido triste;['desde', 'que', 'tengo', 'memoria', 'siempre', 'me', 'he', 'sentido', 'triste'];['memoria', 'siempre', 'sentir', 'triste'];memoria siempre sentir triste;desde que tengo memoria siempre me he sentido triste
Boris Edward Cancino;https://www.tiktok.com/@todosobreed/video/7354011532155489541?comment_id=7368306147877339910;😭😭😭;2024-05-13 02:31:21;"Tristeza";emoji_cara_llorando_fuerte emoji_cara_llorando_fuerte emoji_cara_llorando_fuerte;['emoji_cara_llorando_fuerte', 'emoji_cara_llorando_fuerte', 'emoji_cara_llorando_fuerte'];['emoji_cara_llorando_fuertir', 'emoji_cara_llorando_fuerte', 'emoji_cara_llorando_fuerte'];emoji_cara_llorando_fuertir emoji_cara_llorando_fuerte emoji_cara_llorando_fuerte;emoji_cara_llorando_fuerte emoji_cara_llorando_fuerte emoji_cara_llorando_fuerte
ALMADAUWU;https://www.tiktok.com/@alamdaxd/video/7354011532155489541?comment_id=7368314384428352262;2 semanas? y si llevo 7 años;2024-05-13 03:03:13;"Tristeza";2 semanas? y si llevo 7 años;['2', 'semanas', 'interrogacion', 'y', 'si', 'llevo', '7', 'años'];['2', 'semana', 'interrogacion', 'si', 'llevar', '7', 'año'];2 semana interrogacion si llevar 7 año;2 semanas? y si llevo 7 años
Elvia Hernandez Hernandez;https://www.tiktok.com/@isabelhernandezlemus/video/7354011532155489541?comment_id=7368622214001033990;muy cierto 💔💔😥😥;2024-05-13 22:57:58;"Tristeza";muy cierto emoji_corazón_roto emoji_corazón_roto emoji_cara_triste_pero_aliviada emoji_cara_triste_pero_aliviada;['muy', 'cierto', 'emoji_corazón_roto', 'emoji_corazón_roto', 'emoji_cara_triste_pero_aliviada', 'emoji_cara_triste_pero_aliviada'];['mucho', 'emoji_corazón_roto', 'emoji_corazón_roto', 'emoji_cara_triste_pero_aliviado', 'emoji_cara_triste_pero_aliviada'];mucho emoji_corazón_roto emoji_corazón_roto emoji_cara_triste_pero_aliviado emoji_cara_triste_pero_aliviada;muy cierto emoji_corazón_roto emoji_corazón_roto emoji_cara_triste_pero_aliviada emoji_cara_triste_pero_aliviada
gabryel_py;https://www.tiktok.com/@gabryel_py/video/7354011532155489541?comment_id=7368635829566276357;y si llevo con esto años.?;2024-05-13 23:50:37;"Tristeza";y si llevo con esto años.?;['y', 'si', 'llevo', 'con', 'esto', 'años', 'interrogacion'];['si', 'llevar', 'año', 'interrogacion'];si llevar año interrogacion;y si llevo con esto años.?
Sebas Eduar Molina;https://www.tiktok.com/@eduar_mol23/video/7354011532155489541?comment_id=7368696521867150086;una vez me dijeron que soy inconforme o que no soy agradecido por lo que tengo porque me siento mal con respecto a la mayoría de las cosas que me suceden;2024-05-14 03:46:11;"Tristeza";una vez me dijeron que soy inconforme o que no soy agradecido por lo que tengo porque me siento mal con respecto a la mayoría de las cosas que me suceden;['una', 'vez', 'me', 'dijeron', 'que', 'soy', 'inconforme', 'o', 'que', 'no', 'soy', 'agradecido', 'por', 'lo', 'que', 'tengo', 'porque', 'me', 'siento', 'mal', 'con', 'respecto', 'a', 'la', 'mayoría', 'de', 'las', 'cosas', 'que', 'me', 'suceden'];['inconfor yo', 'no', 'agradecido', 'sentir', 'mal', 'mayoría', 'cosa', 'suceder'];inconfor yo no agradecido sentir mal mayoría cosa suceder;una vez me dijeron que soy inconforme o que no soy agradecido por lo que tengo porque me siento mal con respecto a la mayoría de las cosas que me suceden
Fernando Mancilla;https://www.tiktok.com/@fer.mnc7/video/7354011532155489541?comment_id=7368706161027351302;sisoy;2024-05-14 04:23:32;"Alegría";sisoy;['sisoy'];['sisoyir'];sisoyir;sisoy
santiag1900;https://www.tiktok.com/@santiag1900/video/7354011532155489541?comment_id=7368708825326043909;2 semanas?? jaaa, novatos;2024-05-14 04:34:02;"Ira";2 semanas?? jaaa, novatos;['2', 'semanas', 'interrogacion', 'interrogacion', 'jaaa', 'novatos'];['2', 'semana', 'interrogacion', 'interrogacion', 'jaaa', 'novato'];2 semana interrogacion interrogacion jaaa novato;2 semanas?? jaaa, novatos
Cosinas;https://www.tiktok.com/@lejendario75/video/7354011532155489541?comment_id=7368719473115972358;oye oye me paso eso 😄;2024-05-14 05:15:20;"Alegría";oye oye me paso eso emoji_cara_sonriendo_con_ojos_sonrientes;['oye', 'oye', 'me', 'paso', 'eso', 'emoji_cara_sonriendo_con_ojos_sonrientes'];['oir', 'oir', 'pasar', 'emoji_cara_sonriendo_con_ojos_sonrient'];oir oir pasar emoji_cara_sonriendo_con_ojos_sonrient;oye oye me paso eso emoji_cara_sonriendo_con_ojos_sonrientes
Aldair Ruiz;https://www.tiktok.com/@aldairruiz5/video/7354011532155489541?comment_id=7368906044527805190;La verdad que yo si quiero que me ayuden, paso todo el día triste, no puedo dormir, ya llevo varios años así, siento que ya no puedo más, me he quedado solo sin amigos. 😔;2024-05-14 17:19:15;"Tristeza";La verdad que yo si quiero que me ayuden, paso todo el día triste, no puedo dormir, ya llevo varios años así, siento que ya no puedo más, me he quedado solo sin amigos. emoji_cara_desanimada;['la', 'verdad', 'que', 'yo', 'si', 'quiero', 'que', 'me', 'ayuden', 'paso', 'todo', 'el', 'día', 'triste', 'no', 'puedo', 'dormir', 'ya', 'llevo', 'varios', 'años', 'así', 'siento', 'que', 'ya', 'no', 'puedo', 'más', 'me', 'he', 'quedado', 'solo', 'sin', 'amigos', 'emoji_cara_desanimada'];['si', 'querer', 'ayudar', 'paso', 'triste', 'no', 'dormir', 'llevar', 'año', 'sentir', 'no', 'más', 'quedar', 'amigo', 'emoji_cara_desanimado'];si querer ayudar paso triste no dormir llevar año sentir no más quedar amigo emoji_cara_desanimado;La verdad que yo si quiero que me ayuden, paso todo el día triste, no puedo dormir, ya llevo varios años así, siento que ya no puedo más, me he quedado solo sin amigos. emoji_cara_desanimada
